"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260203,2026-02-03,001602,CBT ,00,001 ,  543432,  121319,  186815,  191735,  198550,  131486,  511604,  510036,   31828,   33396,  386876,  140467,  168876,  110326,  112670,   84712,  363463,  363914,   23413,   22962,  156556,   39860,   76947,   22401,   85880,   46774,  148141,  146122,    8415,   10434,    7404,    1498,  -12396,    3693,    2829,   13128,    8020,    4425,    -616,    2979,  100.0,   22.3,   34.4,   35.3,   36.5,   24.2,   94.1,   93.9,    5.9,    6.1,  100.0,   36.3,   43.7,   28.5,   29.1,   21.9,   93.9,   94.1,    6.1,    5.9,  100.0,   25.5,   49.1,   14.3,   54.9,   29.9,   94.6,   93.3,    5.4,    6.7,    362,    107,    119,    130,     91,     92,    273,    281,    344,    114,    107,     91,     81,     73,    236,    237,    229,     60,     69,     47,     63,     69,    150,    161,    13.6,    11.9,    22.3,    20.7,     9.2,     7.1,    14.3,    13.2,    14.9,    15.2,    24.2,    25.2,    10.3,    10.2,    17.0,    18.5,    21.4,    19.9,    36.4,    35.5,    20.9,    19.5,    35.0,    34.9,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260127,2026-01-27,001602,CBT ,00,001 ,  536028,  119821,  199211,  188042,  195721,  118358,  503584,  505611,   32444,   30417,  389937,  148139,  185929,  105409,  112029,   77219,  365577,  368557,   24360,   21380,  146091,   34729,   76329,   19586,   83692,   41139,  138007,  137054,    8084,    9037,   16797,   -4794,  -19134,   20879,     485,   13966,   16570,   15711,     227,    1086,  100.0,   22.4,   37.2,   35.1,   36.5,   22.1,   93.9,   94.3,    6.1,    5.7,  100.0,   38.0,   47.7,   27.0,   28.7,   19.8,   93.8,   94.5,    6.2,    5.5,  100.0,   23.8,   52.2,   13.4,   57.3,   28.2,   94.5,   93.8,    5.5,    6.2,    376,    115,    125,    135,     92,     92,    281,    289,    361,    122,    116,     93,     80,     75,    246,    243,    230,     58,     71,     48,     64,     66,    150,    160,    13.6,    14.9,    22.0,    23.7,     8.6,     8.5,    14.5,    15.8,    16.6,    17.8,    25.7,    27.9,     9.8,    11.3,    16.3,    20.3,    23.0,    22.5,    37.6,    37.9,    23.0,    22.3,    37.6,    37.1,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260120,2026-01-20,001602,CBT ,00,001 ,  519231,  124615,  218345,  167163,  195236,  104392,  487014,  489900,   32217,   29331,  383366,  149099,  198121,   95029,  113874,   69033,  358002,  362183,   25364,   21183,  135865,   29923,   74631,   17727,   81362,   35359,  129012,  127717,    6853,    8148,    5521,   -3552,    4153,     768,    6520,     554,    3736,    5475,    1785,      46,  100.0,   24.0,   42.1,   32.2,   37.6,   20.1,   93.8,   94.4,    6.2,    5.6,  100.0,   38.9,   51.7,   24.8,   29.7,   18.0,   93.4,   94.5,    6.6,    5.5,  100.0,   22.0,   54.9,   13.0,   59.9,   26.0,   95.0,   94.0,    5.0,    6.0,    383,    117,    126,    123,    103,     91,    282,    286,    368,    117,    122,     84,     94,     70,    249,    239,    223,     56,     66,     46,     63,     68,    148,    154,    13.6,    14.6,    22.3,    23.8,     9.2,     9.1,    15.4,    16.5,    17.1,    16.8,    25.4,    27.3,    10.2,    11.6,    17.0,    20.5,    25.0,    25.1,    40.0,    39.5,    25.0,    24.9,    40.0,    38.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260113,2026-01-13,001602,CBT ,00,001 ,  513710,  128167,  214192,  166395,  188716,  103838,  483278,  484425,   30432,   29285,  382948,  146928,  192410,  100672,  111376,   68429,  358976,  361511,   23972,   21437,  130762,   30961,   71504,   16001,   77340,   35409,  124302,  122914,    6460,    7848,   12942,     176,   -1890,    9741,    5307,    5399,   15224,   13250,   -2282,    -308,  100.0,   24.9,   41.7,   32.4,   36.7,   20.2,   94.1,   94.3,    5.9,    5.7,  100.0,   38.4,   50.2,   26.3,   29.1,   17.9,   93.7,   94.4,    6.3,    5.6,  100.0,   23.7,   54.7,   12.2,   59.1,   27.1,   95.1,   94.0,    4.9,    6.0,    380,    114,    128,    123,     99,     94,    276,    290,    369,    118,    122,     88,     90,     75,    244,    250,    221,     54,     68,     40,     62,     68,    142,    152,    13.6,    14.6,    22.4,    24.0,     9.6,     9.6,    15.7,    16.7,    16.8,    16.8,    25.8,    27.6,    10.2,    12.0,    16.3,    20.4,    25.6,    23.3,    39.8,    39.3,    25.5,    23.2,    39.7,    38.8,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260106,2026-01-06,001602,CBT ,00,001 ,  500768,  127991,  216082,  156654,  183409,   98439,  468054,  471175,   32714,   29593,  386749,  140825,  195165,   95747,  123720,   73569,  360292,  364481,   26457,   22268,  114019,   31770,   65521,   16303,   59689,   24870,  107762,  106694,    6257,    7325,   12280,   -4124,   12976,    4769,    8192,   -6802,    8837,   10943,    3443,    1337,  100.0,   25.6,   43.2,   31.3,   36.6,   19.7,   93.5,   94.1,    6.5,    5.9,  100.0,   36.4,   50.5,   24.8,   32.0,   19.0,   93.2,   94.2,    6.8,    5.8,  100.0,   27.9,   57.5,   14.3,   52.4,   21.8,   94.5,   93.6,    5.5,    6.4,    374,    118,    126,    118,     94,     91,    269,    282,    364,    119,    120,     86,     86,     75,    240,    247,    215,     55,     61,     41,     59,     66,    137,    149,    13.0,    15.4,    21.6,    25.3,     9.2,    10.7,    14.1,    17.8,    14.9,    18.0,    24.1,    28.3,    10.0,    12.9,    16.1,    21.3,    23.7,    24.8,    38.3,    40.4,    23.6,    24.7,    38.0,    39.9,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",260203,2026-02-03,001612,CBT ,00,001 ,  312784,   84076,   92218,   81516,  129452,  116682,  295044,  290416,   17740,   22368,  221453,   94346,   78452,   38775,   74944,   88767,  208065,  205994,   13388,   15459,   91331,   22803,   46839,    9668,   54508,   27915,   86979,   84422,    4352,    6909,     494,    4153,    9129,   -3780,   -1365,   -6340,    -992,    -991,    1486,    1485,  100.0,   26.9,   29.5,   26.1,   41.4,   37.3,   94.3,   92.8,    5.7,    7.2,  100.0,   42.6,   35.4,   17.5,   33.8,   40.1,   94.0,   93.0,    6.0,    7.0,  100.0,   25.0,   51.3,   10.6,   59.7,   30.6,   95.2,   92.4,    4.8,    7.6,    256,     55,     90,     77,     82,     76,    196,    190,    248,     66,     78,     55,     67,     71,    164,    175,    164,     35,     45,     33,     57,     53,    116,    108,    12.6,    13.5,    22.9,    22.2,    10.6,    10.2,    19.3,    17.3,    14.5,    15.3,    27.2,    25.5,    13.4,    13.2,    24.3,    22.1,    22.4,    24.5,    35.5,    38.5,    19.4,    23.2,    32.1,    35.1,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",260127,2026-01-27,001612,CBT ,00,001 ,  312290,   79923,   83089,   85296,  130817,  123022,  296036,  291407,   16254,   20883,  231459,   98596,   73284,   43069,   77364,   99823,  219029,  216176,   12430,   15283,   80831,   15289,   43767,    8265,   53453,   23199,   77007,   75231,    3824,    5600,    2150,   -2367,   -3931,    2641,    1707,    5273,    1981,    3983,     169,   -1833,  100.0,   25.6,   26.6,   27.3,   41.9,   39.4,   94.8,   93.3,    5.2,    6.7,  100.0,   42.6,   31.7,   18.6,   33.4,   43.1,   94.6,   93.4,    5.4,    6.6,  100.0,   18.9,   54.1,   10.2,   66.1,   28.7,   95.3,   93.1,    4.7,    6.9,    264,     63,     85,     73,     83,     80,    197,    193,    256,     76,     74,     54,     66,     74,    168,    176,    165,     32,     45,     27,     60,     56,    111,    109,    12.7,    12.6,    22.8,    21.9,    10.5,    11.0,    19.0,    17.9,    14.6,    15.6,    26.8,    26.9,    12.9,    14.4,    23.5,    23.7,    22.0,    23.3,    35.4,    36.8,    18.7,    22.2,    32.0,    33.6,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",260120,2026-01-20,001612,CBT ,00,001 ,  310140,   82290,   87020,   82655,  129110,  117749,  294055,  287424,   16085,   22716,  231300,  101888,   76697,   40702,   76697,   96718,  219287,  214117,   12013,   17183,   78840,   12650,   42571,    9705,   52413,   21031,   74768,   73307,    4072,    5533,    7200,   -4553,    -163,    3561,    8115,    2638,    7123,    6036,      77,    1164,  100.0,   26.5,   28.1,   26.7,   41.6,   38.0,   94.8,   92.7,    5.2,    7.3,  100.0,   44.1,   33.2,   17.6,   33.2,   41.8,   94.8,   92.6,    5.2,    7.4,  100.0,   16.0,   54.0,   12.3,   66.5,   26.7,   94.8,   93.0,    5.2,    7.0,    256,     69,     82,     66,     79,     74,    190,    183,    249,     76,     72,     48,     65,     68,    164,    166,    153,     30,     43,     28,     56,     49,    106,    100,    13.0,    13.9,    23.6,    22.7,    10.7,    11.8,    19.0,    18.3,    15.5,    16.3,    28.0,    27.0,    13.5,    15.3,    24.1,    24.2,    21.7,    23.3,    35.0,    37.7,    18.2,    22.1,    31.5,    34.0,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",260113,2026-01-13,001612,CBT ,00,001 ,  302940,   86843,   87183,   79094,  120995,  115111,  286932,  281388,   16008,   21552,  229986,  103754,   77512,   40531,   73494,   95409,  217779,  213452,   12207,   16534,   72954,   14235,   40817,    7417,   47501,   19702,   69153,   67936,    3801,    5018,    1670,   -2775,    -805,    2116,    3102,    -172,    2443,    1139,    -773,     531,  100.0,   28.7,   28.8,   26.1,   39.9,   38.0,   94.7,   92.9,    5.3,    7.1,  100.0,   45.1,   33.7,   17.6,   32.0,   41.5,   94.7,   92.8,    5.3,    7.2,  100.0,   19.5,   55.9,   10.2,   65.1,   27.0,   94.8,   93.1,    5.2,    6.9,    255,     69,     79,     69,     75,     75,    185,    185,    249,     79,     68,     54,     60,     69,    160,    170,    155,     31,     42,     28,     52,     50,    103,    100,    13.5,    14.0,    24.5,    23.3,    12.2,    12.4,    21.0,    19.1,    15.4,    16.6,    27.3,    26.8,    13.8,    15.7,    24.5,    24.2,    24.5,    24.8,    38.5,    38.9,    20.7,    22.1,    34.7,    35.0,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
"WHEAT-HRW - CHICAGO BOARD OF TRADE",260106,2026-01-06,001612,CBT ,00,001 ,  301270,   89618,   87988,   76978,  117893,  115283,  284489,  280249,   16781,   21021,  235688,  103357,   79783,   41898,   77384,   97568,  222639,  219249,   13049,   16439,   65582,   13666,   35610,    7675,   40509,   17715,   61850,   61000,    3732,    4582,    6888,    5103,    1673,    1343,    -822,    4531,    5624,    7547,    1264,    -659,  100.0,   29.7,   29.2,   25.6,   39.1,   38.3,   94.4,   93.0,    5.6,    7.0,  100.0,   43.9,   33.9,   17.8,   32.8,   41.4,   94.5,   93.0,    5.5,    7.0,  100.0,   20.8,   54.3,   11.7,   61.8,   27.0,   94.3,   93.0,    5.7,    7.0,    250,     70,     77,     72,     73,     71,    188,    179,    245,     77,     70,     56,     58,     65,    161,    166,    148,     34,     36,     27,     53,     46,    104,     92,    12.8,    13.8,    23.9,    22.6,    12.4,    12.1,    21.1,    19.4,    15.5,    16.1,    26.9,    26.6,    14.1,    15.2,    24.3,    24.7,    22.0,    25.4,    36.3,    40.9,    19.5,    22.3,    31.8,    36.2,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 "
